название,производитель,ккал_100г,белки_100г,жиры_100г,углеводы_100г,единица,вес_единицы_г,порция_по_умолчанию_г,штрихкод,id,тип
Овсяная каша на воде,Nordic,88,3,1.7,15,порция,250,250,,
"Куриная грудка, запечённая",Домашнее,165,31,3.6,0,,,150,,
Творог 5%,Простоквашино,121,17,5,3,пачка,180,180,4600682032045,
Банан,Свежий,89,1.1,0.3,23,шт,120,120,,
Гречка отварная,Домашнее,110,4.2,1.1,21,,,200,,
Латте на овсяном,Кофейня,52,1.6,2,6.6,стакан,300,300,,
Ролл с курицей и соусом цезарь,Фастфуд,214,11,9,22,шт,210,210,4680123456789,
Яйцо варёное,,155,13,11,1.1,шт,55,110,,
Хлеб цельнозерновой,Рижский,230,9,3,41,ломтик,30,60,4607091380019,
Лосось слабосолёный,,202,22,12,0,,,100,,
Греческий йогурт 2%,Село Зелёное,66,9,2,3.6,баночка,150,150,4620013532016,
Сырники творожные,Домашнее,184,12,8,16,шт,80,160,,
Салат овощной с маслом,,78,1.2,6,4.5,,,180,,
Гороховый белок изолят,,350.0,76.0,2.9,5.7,,,,0002497233760,
Органическая кокосовая вода,Foco,21.0,0.0,0.0,5.2,,,,0016229919306,
"Йогурт ""Густой Греческий""",Простоквашино,64.0,8.7,2.0,2.8,,,,00232968,
Neo Имунеле Natural,,64.1,1.8,0.9,11.8,,,,0099990000010,
Даниссимо Пинаколада,,134.1,4.6,5.3,16.1,,,,0099990000719,
Окорочка куриные лента,,203.0,15.7,15.4,0.3,,,,01107678,
O zlaki кофейные,,476.0,7.0,24.0,57.0,,,,04731290,
Коврижка пряная,Дары мира,334.0,4.5,5.5,38.0,,,,0612710010097,
Полба,Агро-Альянс,350.0,12.0,2.0,72.0,,,,09585898,
Капучино,Natura selectiob,55.0,2.0,2.3,6.3,,,,10266663,
Шоколадный батончик SNICKERS® КРИСПЕР,Snickers,480.0,6.8,22.0,61.1,,,,11434795,shokoladnyy-batonchik-snickers-krisper-snickers-krisper
Морковь по корейски,,92.0,1.5,3.8,10.0,,,,12612178,
Белок яичный,Яндекс,200.0,6.8,6.4,26.0,,,,12873869,
Японский чизкейк,Jupcake,285.0,7.7,18.5,22.0,,,,14815214,
Плавленый сыр Чизбургер,,285.0,14.8,23.1,4.3,,,,15291691,
Брауни протеиновое,Fit Kit,357.5,16.2,22.5,37.5,,,,16107960,
Мороженое Эскимо Светаево с арахисом и карамелью,Светаево,346.0,40.0,24.5,27.5,,,,16200324,
Творог обезжиренный,Ашан,101.0,18.0,1.8,3.3,,,,1662363245512,
Пудинг чиа,LAGE,236.0,4.6,15.9,20.4,,,,2000000292205,
Онигири С Крабом И Устричным Соусом,Все Дома,190.0,5.0,4.0,33.0,,,,2000036323805,
Лунный пряник,Китай,394.8,7.8,15.6,55.8,,,,2010008017014,
Сдоба с миндальной начинкой,Ашан,320.0,6.5,8.0,54.0,,,,2050539000017,
Картофельное Пюре,Яндекс Лавка,123.0,2.0,7.0,13.0,,,,2090006041297,
Омлет с хашбраунами,Есть горячее,278.7,9.4,19.4,16.6,,,,2090006067341,
Блинчики с курицей и сыром,Лавка,278.0,15.0,13.9,23.3,,,,2090006100895,
Жаренные кусочки кукурузы,,158.7,2.9,6.9,21.2,,,,2090006124051,
Шоколадный Парфе,Сладкая Мастерская,318.0,9.0,18.0,28.0,,,,2090006126994,
Лапша Гречневая Соба,Domshim,350.0,15.0,1.0,71.0,,,,2099999994993,
Блины С Яблоком,ВкусВилл,216.3,4.5,9.1,29.1,,,,2100100056063,
Паштет Из Мяса Индейки,ВкусВилл,247.0,11.0,22.0,1.2,,,,2100100066376,
Фруктово-ореховый батончик Шоколад-протеин,ВкусВилл,376.2,22.3,11.0,47.0,,,,2100100105372,
Пряники С Вишней,ВкусВилл,366.4,4.3,5.2,75.6,,,,2100100106942,
Пряники,ВкусВилл,411.0,8.8,9.8,71.9,,,,2100100110420,
"Вареники С Сыром, Помидором И Базиликом",ВкусВилл,190.9,13.1,2.9,28.1,,,,2100100113025,
Айран 2%,ВкусВилл,32.4,1.4,2.0,2.2,,,,2100100195410,
Молоко 3.2% Безлактозное,ВкусВилл,58.8,3.0,3.2,4.5,,,,2100100222604,
"Сосиски ""Куриные Суперсила""",ВкусВилл,100.5,15.0,4.5,0.0,,,,2100100296742,
"Йогурт черника 2,5%",ВкусВилл,61.3,3.0,2.5,6.7,,,,2100100305994,
"Котлеты куриные с моцареллой с булгуром, киноа и овощами",ВкусВилл,154.5,10.2,8.5,9.3,,,,2100100379537,
"Равиоли С Крабом Камчатским, Креветками Северными И Сыром Моцарелла",ВкусВилл,187.1,11.1,3.9,26.9,,,,2100100457334,
Говядина филей,ВкусВилл,136.0,16.0,8.0,0.0,,,,2100100465711,
Кекс Домашний С Какао,ВкусВилл,387.5,6.0,21.5,42.5,,,,2100100618094,
Тирамису,ВкусВилл,332.5,4.8,26.9,17.8,,,,2100100638160,
Беляши «Куряш»,ВкусВилл,176.0,10.0,4.0,25.0,,,,2100100652913,
Сырники классические замороженные,ВкусВилл,222.7,14.7,10.3,17.8,,,,2100100653149,
Арахисовый Батончик С Соленой Карамелью С Вкусом Ириса,ВкусВилл,521.6,11.4,28.0,56.0,,,,2100100654696,
Амарантовые Хлебцы,ВкусВилл,388.0,11.6,7.3,69.2,,,,2100100655051,
Чипсы Рисовые Томат С Зеленью,ВкусВилл,336.9,6.7,1.7,73.7,,,,2100100675127,
Пельмени с мраморной говядиной и цыплёнком,ВкусВилл,211.6,12.6,8.4,21.4,,,,2100100696818,
Kids Pure From Pear Peach And Mango,ВкусВилл,46.2,0.3,0.0,11.0,,,,2100100703257,
Рябина Черноплодная Быстрозамороженная,ВкусВилл,51.0,1.5,0.2,10.9,,,,2100100710576,
Онигири Краб Спайки,ВкусВилл,232.6,3.8,7.4,37.7,,,,2100100729585,
Пельмени Алтайские,ВкусВилл,305.4,9.5,18.6,25.0,,,,2100100738105,
Биточки Из Мяса Курицы С Сыром,ВкусВилл,165.8,16.6,10.6,1.0,,,,2100100746711,
Вафли Голландские С Молочной Карамелью,ВкусВилл,393.0,4.5,15.0,60.0,,,,2100100760618,
"Пирог ""Сметанник"" с черникой",ВкусВилл,299.4,5.1,19.8,25.2,,,,2100100768607,
Сосиски С Сыром,ВкусВилл,341.3,14.8,30.5,1.9,,,,2100100834357,
Хлебцы Из Зеленой Гречки,ВкусВилл,365.0,15.3,1.4,72.9,,,,2100100853426,
Торт Блинный Шоколадный,ВкусВилл,312.6,6.5,19.0,28.9,,,,2100100854447,
Феттучине С Яйцом И Шпинатом,ВкусВилл,282.7,10.6,1.9,54.9,,,,2100100855680,
"Шаурма с курицей и соусом ""Бургер""",BB,91.7,10.7,10.5,20.1,,,,2100100865221,
Чипсы Барбекю,ВкусВилл,508.2,5.5,25.8,63.5,,,,2100100882297,
"Пастила яблочная ассорти ""Фруктово-ягодное""",ВкусВилл,182.9,1.5,0.1,44.0,,,,2100100904852,
Шоколад на меду (Горький),ВкусВилл,578.2,8.1,43.0,39.7,,,,2100100919214,
"Батончик Протеиновый ""Малина""",ВкусВилл,361.0,25.0,21.0,18.0,,,,2100100957780,
Батончик карамельный,ВкусВилл,532.4,9.4,35.2,44.5,,,,2100100996345,
Яйцо С0 Куриное,ВкусВилл,157.0,12.7,11.5,0.7,,,,2100101036781,
"Бескостное мясо бедра цыпленка в маринаде ""Сладкий чили""",Богородские деликатесы,108.7,16.9,3.1,3.3,,,,2100101038891,
Батон без добавления сахара,ВкусВилл,246.9,8.2,2.5,47.9,,,,2100101039171,
Хлеб Тостовый Нарезка,ВкусВилл,238.9,6.6,1.7,49.3,,,,2100101040986,
"Мини-чиабатта С Индейкой, Сыром Гауда И Соусом песто",ВкусВилл,247.0,8.6,12.7,24.8,,,,2100101050176,
Пельмени Замороженные «Оренбургские»,ВкусВилл,281.9,16.5,12.3,26.3,,,,2100101051685,
Блины с мясом по-грузински,ВкусВилл,224.5,8.8,10.9,22.8,,,,2100101083730,
Завиток С Корицей,ВкусВилл,418.0,7.0,26.5,38.0,,,,2100101091278,
"Кесадилья с курицей, шпинатом и моцареллой",ВкусВилл,274.1,14.4,14.9,20.6,,,,2100101104749,
Блины с творогом,Зелёная точка,230.0,7.9,13.6,19.0,,,,2100291000012,
Шницель куриный в панировке жаренный,Магнолия,207.0,19.7,3.0,4.0,,,,2116590001384,
Салат Греческий От Бренд Шефа,Азбука Вкуса,83.6,3.9,6.0,3.5,,,,2145438002344,
Омуль Холодного Копчения,Азбука Вкуса,131.0,17.0,7.0,0.0,,,,2181571003565,
Блинчики с Грушей И Мятным Кремом,Азбука Вкуса,244.6,4.8,15.3,22.0,,,,2182527004506,
Пасхальный кулич с драже и сливочной начинкой,Самокат,350.0,6.7,12.9,52.6,,,,2200986000003,
"Йогурт питьевой ""Манго"" МДж 3,0-4,4%",Сами Готовим,86.2,2.6,3.0,12.2,,,,2238277003303,
"Йогурт ""Персик-маракуйя""",Сами Готовим,99.5,2.8,3.2,14.8,,,,2238351002000,
"Йогурт ""Груша"" с семенами чиа",Сами Готовим,110.4,3.1,4.0,15.5,,,,2238354002007,
"Йогурт питьевой ""Ананас""",Сами Готовим,91.6,2.9,3.3,12.6,,,,2243199003300,
Кантуччи,Пятёрочка,378.0,6.5,7.5,71.0,,,,2319705003000,
Печенье Воздушное Морозко,Ден-трал,303.7,7.3,2.9,62.1,,,,2319865002509,
Печенье овсяное царское сокровище,Ашан,420.0,5.5,15.0,64.0,,,,2350502003305,
Овсяное печенье,Ашан,430.0,6.0,13.0,70.0,,,,2353837003187,
Кимчи,Ашан,40.0,1.0,2.0,4.0,,,,2358834003789,
Пирожное Колечко С Творогом,SPAR,240.0,4.0,12.5,26.0,,,,2415803000009,
Улитка с Творожным Кремом и Корицей,SPAR,357.0,2.4,16.5,49.7,,,,2435421000007,
Куриный суп пюре с сухариками,Суперсуп,62.0,4.5,2.0,10.0,,,,2531663077736,
Вафельные трубочки Эль Торо,Станем друзьями,318.0,3.3,11.0,52.6,,,,2602183003465,
Сдоба Лакомка,Станем друзьями,316.0,6.1,6.7,57.9,,,,2604022000017,
Печенье Сластена Сметанная,Станем друзьями,331.2,6.4,11.8,27.7,,,,2604656002944,
Коврижка чернослив/вино,Станем друзьями,370.0,4.0,7.0,72.0,,,,2607898002222,
Брауни,Станем друзьями,363.8,5.0,16.0,46.0,,,,2610141002122,
Вафли Азиатка,Станем друзьями,350.0,3.0,15.0,51.0,,,,2611258002005,
Арбатские рогалики,Станем друзьями,268.0,8.3,2.2,52.4,,,,2611701000015,
